84042 silly lifecycle minimatch@3.0.3~preinstall: no script for preinstall, continuing
86171 silly build is-gzip@1.0.0
86172 info linkStuff is-gzip@1.0.0
86173 silly linkStuff is-gzip@1.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86174 verbose linkBins is-gzip@1.0.0
86175 verbose linkMans is-gzip@1.0.0
86176 silly build is-jpg@1.0.0
86177 info linkStuff is-jpg@1.0.0
86178 silly linkStuff is-jpg@1.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86179 verbose linkBins is-jpg@1.0.0
86180 verbose linkMans is-jpg@1.0.0
86181 silly build is-natural-number@2.1.1
86182 info linkStuff is-natural-number@2.1.1
86183 silly linkStuff is-natural-number@2.1.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86184 verbose linkBins is-natural-number@2.1.1
86185 verbose linkMans is-natural-number@2.1.1
86186 silly build is-obj@1.0.1
86187 info linkStuff is-obj@1.0.1
86188 silly linkStuff is-obj@1.0.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86189 verbose linkBins is-obj@1.0.1
86190 verbose linkMans is-obj@1.0.1
86191 silly build is-png@1.0.0
86192 info linkStuff is-png@1.0.0
86193 silly linkStuff is-png@1.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86194 verbose linkBins is-png@1.0.0
86195 verbose linkMans is-png@1.0.0
86196 silly build is-posix-bracket@0.1.1
86197 info linkStuff is-posix-bracket@0.1.1
86198 silly linkStuff is-posix-bracket@0.1.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86199 verbose linkBins is-posix-bracket@0.1.1
86200 verbose linkMans is-posix-bracket@0.1.1
86201 silly build expand-brackets@0.1.5
86202 info linkStuff expand-brackets@0.1.5
86203 silly linkStuff expand-brackets@0.1.5 has D:\www\nailed_sudio\node_modules as its parent node_modules
86204 verbose linkBins expand-brackets@0.1.5
86205 verbose linkMans expand-brackets@0.1.5
86206 silly build is-primitive@2.0.0
86207 info linkStuff is-primitive@2.0.0
86208 silly linkStuff is-primitive@2.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86209 verbose linkBins is-primitive@2.0.0
86210 verbose linkMans is-primitive@2.0.0
86211 silly build is-equal-shallow@0.1.3
86212 info linkStuff is-equal-shallow@0.1.3
86213 silly linkStuff is-equal-shallow@0.1.3 has D:\www\nailed_sudio\node_modules as its parent node_modules
86214 verbose linkBins is-equal-shallow@0.1.3
86215 verbose linkMans is-equal-shallow@0.1.3
86216 silly build is-property@1.0.2
86217 info linkStuff is-property@1.0.2
86218 silly linkStuff is-property@1.0.2 has D:\www\nailed_sudio\node_modules as its parent node_modules
86219 verbose linkBins is-property@1.0.2
86220 verbose linkMans is-property@1.0.2
86221 silly build generate-object-property@1.2.0
86222 info linkStuff generate-object-property@1.2.0
86223 silly linkStuff generate-object-property@1.2.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86224 verbose linkBins generate-object-property@1.2.0
86225 verbose linkMans generate-object-property@1.2.0
86226 silly build is-redirect@1.0.0
86227 info linkStuff is-redirect@1.0.0
86228 silly linkStuff is-redirect@1.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86229 verbose linkBins is-redirect@1.0.0
86230 verbose linkMans is-redirect@1.0.0
86231 silly build is-relative@0.1.3
86232 info linkStuff is-relative@0.1.3
86233 silly linkStuff is-relative@0.1.3 has D:\www\nailed_sudio\node_modules as its parent node_modules
86234 verbose linkBins is-relative@0.1.3
86235 verbose linkMans is-relative@0.1.3
86236 silly build is-absolute@0.1.7
86237 info linkStuff is-absolute@0.1.7
86238 silly linkStuff is-absolute@0.1.7 has D:\www\nailed_sudio\node_modules as its parent node_modules
86239 verbose linkBins is-absolute@0.1.7
86240 verbose linkMans is-absolute@0.1.7
86241 silly build is-retry-allowed@1.1.0
86242 info linkStuff is-retry-allowed@1.1.0
86243 silly linkStuff is-retry-allowed@1.1.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86244 verbose linkBins is-retry-allowed@1.1.0
86245 verbose linkMans is-retry-allowed@1.1.0
86246 silly build is-stream@1.1.0
86247 info linkStuff is-stream@1.1.0
86248 silly linkStuff is-stream@1.1.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86249 verbose linkBins is-stream@1.1.0
86250 verbose linkMans is-stream@1.1.0
86251 silly build is-svg@2.1.0
86252 info linkStuff is-svg@2.1.0
86253 silly linkStuff is-svg@2.1.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86254 verbose linkBins is-svg@2.1.0
86255 verbose linkMans is-svg@2.1.0
86256 silly build is-tar@1.0.0
86257 info linkStuff is-tar@1.0.0
86258 silly linkStuff is-tar@1.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86259 verbose linkBins is-tar@1.0.0
86260 verbose linkMans is-tar@1.0.0
86261 silly build is-typedarray@1.0.0
86262 info linkStuff is-typedarray@1.0.0
86263 silly linkStuff is-typedarray@1.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86264 verbose linkBins is-typedarray@1.0.0
86265 verbose linkMans is-typedarray@1.0.0
86266 silly build is-url@1.2.2
86267 info linkStuff is-url@1.2.2
86268 silly linkStuff is-url@1.2.2 has D:\www\nailed_sudio\node_modules as its parent node_modules
86269 verbose linkBins is-url@1.2.2
86270 verbose linkMans is-url@1.2.2
86271 silly build is-utf8@0.2.1
86272 info linkStuff is-utf8@0.2.1
86273 silly linkStuff is-utf8@0.2.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86274 verbose linkBins is-utf8@0.2.1
86275 verbose linkMans is-utf8@0.2.1
86276 silly build strip-bom@1.0.0
86277 info linkStuff strip-bom@1.0.0
86278 silly linkStuff strip-bom@1.0.0 has D:\www\nailed_sudio\node_modules\gulp\node_modules as its parent node_modules
86279 verbose linkBins strip-bom@1.0.0
86280 verbose linkBins [ { 'strip-bom': 'cli.js' },
86280 verbose linkBins   'D:\\www\\nailed_sudio\\node_modules\\gulp\\node_modules\\.bin',
86280 verbose linkBins   false ]
86281 verbose linkMans strip-bom@1.0.0
86282 silly build is-valid-glob@0.3.0
86283 info linkStuff is-valid-glob@0.3.0
86284 silly linkStuff is-valid-glob@0.3.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86285 verbose linkBins is-valid-glob@0.3.0
86286 verbose linkMans is-valid-glob@0.3.0
86287 silly build is-windows@0.2.0
86288 info linkStuff is-windows@0.2.0
86289 silly linkStuff is-windows@0.2.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86290 verbose linkBins is-windows@0.2.0
86291 verbose linkMans is-windows@0.2.0
86292 silly build is-zip@1.0.0
86293 info linkStuff is-zip@1.0.0
86294 silly linkStuff is-zip@1.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86295 verbose linkBins is-zip@1.0.0
86296 verbose linkMans is-zip@1.0.0
86297 silly build isarray@1.0.0
86298 info linkStuff isarray@1.0.0
86299 silly linkStuff isarray@1.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86300 verbose linkBins isarray@1.0.0
86301 verbose linkMans isarray@1.0.0
86302 silly build isexe@1.1.2
86303 info linkStuff isexe@1.1.2
86304 silly linkStuff isexe@1.1.2 has D:\www\nailed_sudio\node_modules as its parent node_modules
86305 verbose linkBins isexe@1.1.2
86306 verbose linkMans isexe@1.1.2
86307 silly build isobject@2.1.0
86308 info linkStuff isobject@2.1.0
86309 silly linkStuff isobject@2.1.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86310 verbose linkBins isobject@2.1.0
86311 verbose linkMans isobject@2.1.0
86312 silly build isstream@0.1.2
86313 info linkStuff isstream@0.1.2
86314 silly linkStuff isstream@0.1.2 has D:\www\nailed_sudio\node_modules as its parent node_modules
86315 verbose linkBins isstream@0.1.2
86316 verbose linkMans isstream@0.1.2
86317 silly build js-base64@2.1.9
86318 info linkStuff js-base64@2.1.9
86319 silly linkStuff js-base64@2.1.9 has D:\www\nailed_sudio\node_modules as its parent node_modules
86320 verbose linkBins js-base64@2.1.9
86321 verbose linkMans js-base64@2.1.9
86322 silly build jsbn@0.1.1
86323 info linkStuff jsbn@0.1.1
86324 silly linkStuff jsbn@0.1.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86325 verbose linkBins jsbn@0.1.1
86326 verbose linkMans jsbn@0.1.1
86327 silly build ecc-jsbn@0.1.1
86328 info linkStuff ecc-jsbn@0.1.1
86329 silly linkStuff ecc-jsbn@0.1.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86330 verbose linkBins ecc-jsbn@0.1.1
86331 verbose linkMans ecc-jsbn@0.1.1
86332 silly build jodid25519@1.0.2
86333 info linkStuff jodid25519@1.0.2
86334 silly linkStuff jodid25519@1.0.2 has D:\www\nailed_sudio\node_modules as its parent node_modules
86335 verbose linkBins jodid25519@1.0.2
86336 verbose linkMans jodid25519@1.0.2
86337 silly build json-schema@0.2.3
86338 info linkStuff json-schema@0.2.3
86339 silly linkStuff json-schema@0.2.3 has D:\www\nailed_sudio\node_modules as its parent node_modules
86340 verbose linkBins json-schema@0.2.3
86341 verbose linkMans json-schema@0.2.3
86342 silly build json-stringify-safe@5.0.1
86343 info linkStuff json-stringify-safe@5.0.1
86344 silly linkStuff json-stringify-safe@5.0.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86345 verbose linkBins json-stringify-safe@5.0.1
86346 verbose linkMans json-stringify-safe@5.0.1
86347 silly build json3@3.3.2
86348 info linkStuff json3@3.3.2
86349 silly linkStuff json3@3.3.2 has D:\www\nailed_sudio\node_modules as its parent node_modules
86350 verbose linkBins json3@3.3.2
86351 verbose linkMans json3@3.3.2
86352 silly build jsonfile@2.4.0
86353 info linkStuff jsonfile@2.4.0
86354 silly linkStuff jsonfile@2.4.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86355 verbose linkBins jsonfile@2.4.0
86356 verbose linkMans jsonfile@2.4.0
86357 silly build jsonify@0.0.0
86358 info linkStuff jsonify@0.0.0
86359 silly linkStuff jsonify@0.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86360 verbose linkBins jsonify@0.0.0
86361 verbose linkMans jsonify@0.0.0
86362 silly build json-stable-stringify@1.0.1
86363 info linkStuff json-stable-stringify@1.0.1
86364 silly linkStuff json-stable-stringify@1.0.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86365 verbose linkBins json-stable-stringify@1.0.1
86366 verbose linkMans json-stable-stringify@1.0.1
86367 silly build jsonpointer@4.0.1
86368 info linkStuff jsonpointer@4.0.1
86369 silly linkStuff jsonpointer@4.0.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86370 verbose linkBins jsonpointer@4.0.1
86371 verbose linkMans jsonpointer@4.0.1
86372 silly build kind-of@3.1.0
86373 info linkStuff kind-of@3.1.0
86374 silly linkStuff kind-of@3.1.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86375 verbose linkBins kind-of@3.1.0
86376 verbose linkMans kind-of@3.1.0
86377 silly build is-number@2.1.0
86378 info linkStuff is-number@2.1.0
86379 silly linkStuff is-number@2.1.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86380 verbose linkBins is-number@2.1.0
86381 verbose linkMans is-number@2.1.0
86382 silly build klaw@1.3.1
86383 info linkStuff klaw@1.3.1
86384 silly linkStuff klaw@1.3.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86385 verbose linkBins klaw@1.3.1
86386 verbose linkMans klaw@1.3.1
86387 silly build fs-extra@1.0.0
86388 info linkStuff fs-extra@1.0.0
86389 silly linkStuff fs-extra@1.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86390 verbose linkBins fs-extra@1.0.0
86391 verbose linkMans fs-extra@1.0.0
86392 silly build lazy-cache@1.0.4
86393 info linkStuff lazy-cache@1.0.4
86394 silly linkStuff lazy-cache@1.0.4 has D:\www\nailed_sudio\node_modules as its parent node_modules
86395 verbose linkBins lazy-cache@1.0.4
86396 verbose linkMans lazy-cache@1.0.4
86397 silly build lazy-req@1.1.0
86398 info linkStuff lazy-req@1.1.0
86399 silly linkStuff lazy-req@1.1.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86400 verbose linkBins lazy-req@1.1.0
86401 verbose linkMans lazy-req@1.1.0
86402 silly build lcid@1.0.0
86403 info linkStuff lcid@1.0.0
86404 silly linkStuff lcid@1.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86405 verbose linkBins lcid@1.0.0
86406 verbose linkMans lcid@1.0.0
86407 silly build limiter@1.1.0
86408 info linkStuff limiter@1.1.0
86409 silly linkStuff limiter@1.1.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86410 verbose linkBins limiter@1.1.0
86411 verbose linkMans limiter@1.1.0
86412 silly build camelcase@1.2.1
86413 info linkStuff camelcase@1.2.1
86414 silly linkStuff camelcase@1.2.1 has D:\www\nailed_sudio\node_modules\localtunnel\node_modules as its parent node_modules
86415 verbose linkBins camelcase@1.2.1
86416 verbose linkMans camelcase@1.2.1
86417 silly build lodash@3.10.1
86418 info linkStuff lodash@3.10.1
86419 silly linkStuff lodash@3.10.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86420 verbose linkBins lodash@3.10.1
86421 verbose linkMans lodash@3.10.1
86422 silly build easy-extender@2.3.2
86423 info linkStuff easy-extender@2.3.2
86424 silly linkStuff easy-extender@2.3.2 has D:\www\nailed_sudio\node_modules as its parent node_modules
86425 verbose linkBins easy-extender@2.3.2
86426 verbose linkMans easy-extender@2.3.2
86427 silly build lodash._basecopy@3.0.1
86428 info linkStuff lodash._basecopy@3.0.1
86429 silly linkStuff lodash._basecopy@3.0.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86430 verbose linkBins lodash._basecopy@3.0.1
86431 verbose linkMans lodash._basecopy@3.0.1
86432 silly build lodash._basetostring@3.0.1
86433 info linkStuff lodash._basetostring@3.0.1
86434 silly linkStuff lodash._basetostring@3.0.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86435 verbose linkBins lodash._basetostring@3.0.1
86436 verbose linkMans lodash._basetostring@3.0.1
86437 silly build lodash._basevalues@3.0.0
86438 info linkStuff lodash._basevalues@3.0.0
86439 silly linkStuff lodash._basevalues@3.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86440 verbose linkBins lodash._basevalues@3.0.0
86441 verbose linkMans lodash._basevalues@3.0.0
86442 silly build lodash._getnative@3.9.1
86443 info linkStuff lodash._getnative@3.9.1
86444 silly linkStuff lodash._getnative@3.9.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86445 verbose linkBins lodash._getnative@3.9.1
86446 verbose linkMans lodash._getnative@3.9.1
86447 silly build lodash._isiterateecall@3.0.9
86448 info linkStuff lodash._isiterateecall@3.0.9
86449 silly linkStuff lodash._isiterateecall@3.0.9 has D:\www\nailed_sudio\node_modules as its parent node_modules
86450 verbose linkBins lodash._isiterateecall@3.0.9
86451 verbose linkMans lodash._isiterateecall@3.0.9
86452 silly build lodash._reescape@3.0.0
86453 info linkStuff lodash._reescape@3.0.0
86454 silly linkStuff lodash._reescape@3.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86455 verbose linkBins lodash._reescape@3.0.0
86456 verbose linkMans lodash._reescape@3.0.0
86457 silly build lodash._reevaluate@3.0.0
86458 info linkStuff lodash._reevaluate@3.0.0
86459 silly linkStuff lodash._reevaluate@3.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86460 verbose linkBins lodash._reevaluate@3.0.0
86461 verbose linkMans lodash._reevaluate@3.0.0
86462 silly build lodash._reinterpolate@3.0.0
86463 info linkStuff lodash._reinterpolate@3.0.0
86464 silly linkStuff lodash._reinterpolate@3.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86465 verbose linkBins lodash._reinterpolate@3.0.0
86466 verbose linkMans lodash._reinterpolate@3.0.0
86467 silly build lodash._root@3.0.1
86468 info linkStuff lodash._root@3.0.1
86469 silly linkStuff lodash._root@3.0.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86470 verbose linkBins lodash._root@3.0.1
86471 verbose linkMans lodash._root@3.0.1
86472 silly build lodash.assign@4.2.0
86473 info linkStuff lodash.assign@4.2.0
86474 silly linkStuff lodash.assign@4.2.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86475 verbose linkBins lodash.assign@4.2.0
86476 verbose linkMans lodash.assign@4.2.0
86477 silly build lodash.assignwith@4.2.0
86478 info linkStuff lodash.assignwith@4.2.0
86479 silly linkStuff lodash.assignwith@4.2.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86480 verbose linkBins lodash.assignwith@4.2.0
86481 verbose linkMans lodash.assignwith@4.2.0
86482 silly build lodash.clonedeep@4.5.0
86483 info linkStuff lodash.clonedeep@4.5.0
86484 silly linkStuff lodash.clonedeep@4.5.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86485 verbose linkBins lodash.clonedeep@4.5.0
86486 verbose linkMans lodash.clonedeep@4.5.0
86487 silly build lodash.escape@3.2.0
86488 info linkStuff lodash.escape@3.2.0
86489 silly linkStuff lodash.escape@3.2.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86490 verbose linkBins lodash.escape@3.2.0
86491 verbose linkMans lodash.escape@3.2.0
86492 silly build lodash.isarguments@3.1.0
86493 info linkStuff lodash.isarguments@3.1.0
86494 silly linkStuff lodash.isarguments@3.1.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86495 verbose linkBins lodash.isarguments@3.1.0
86496 verbose linkMans lodash.isarguments@3.1.0
86497 silly build lodash.isarray@3.0.4
86498 info linkStuff lodash.isarray@3.0.4
86499 silly linkStuff lodash.isarray@3.0.4 has D:\www\nailed_sudio\node_modules as its parent node_modules
86500 verbose linkBins lodash.isarray@3.0.4
86501 verbose linkMans lodash.isarray@3.0.4
86502 silly build lodash.isempty@4.4.0
86503 info linkStuff lodash.isempty@4.4.0
86504 silly linkStuff lodash.isempty@4.4.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86505 verbose linkBins lodash.isempty@4.4.0
86506 verbose linkMans lodash.isempty@4.4.0
86507 silly build lodash.isequal@4.5.0
86508 info linkStuff lodash.isequal@4.5.0
86509 silly linkStuff lodash.isequal@4.5.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86510 verbose linkBins lodash.isequal@4.5.0
86511 verbose linkMans lodash.isequal@4.5.0
86512 silly build lodash.isfinite@3.3.2
86513 info linkStuff lodash.isfinite@3.3.2
86514 silly linkStuff lodash.isfinite@3.3.2 has D:\www\nailed_sudio\node_modules as its parent node_modules
86515 verbose linkBins lodash.isfinite@3.3.2
86516 verbose linkMans lodash.isfinite@3.3.2
86517 silly build lodash.isplainobject@4.0.6
86518 info linkStuff lodash.isplainobject@4.0.6
86519 silly linkStuff lodash.isplainobject@4.0.6 has D:\www\nailed_sudio\node_modules as its parent node_modules
86520 verbose linkBins lodash.isplainobject@4.0.6
86521 verbose linkMans lodash.isplainobject@4.0.6
86522 silly build lodash.isstring@4.0.1
86523 info linkStuff lodash.isstring@4.0.1
86524 silly linkStuff lodash.isstring@4.0.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86525 verbose linkBins lodash.isstring@4.0.1
86526 verbose linkMans lodash.isstring@4.0.1
86527 silly build lodash.keys@3.1.2
86528 info linkStuff lodash.keys@3.1.2
86529 silly linkStuff lodash.keys@3.1.2 has D:\www\nailed_sudio\node_modules as its parent node_modules
86530 verbose linkBins lodash.keys@3.1.2
86531 verbose linkMans lodash.keys@3.1.2
86532 silly build lodash.mapvalues@4.6.0
86533 info linkStuff lodash.mapvalues@4.6.0
86534 silly linkStuff lodash.mapvalues@4.6.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86535 verbose linkBins lodash.mapvalues@4.6.0
86536 verbose linkMans lodash.mapvalues@4.6.0
86537 silly build lodash.pick@4.4.0
86538 info linkStuff lodash.pick@4.4.0
86539 silly linkStuff lodash.pick@4.4.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86540 verbose linkBins lodash.pick@4.4.0
86541 verbose linkMans lodash.pick@4.4.0
86542 silly build lodash.restparam@3.6.1
86543 info linkStuff lodash.restparam@3.6.1
86544 silly linkStuff lodash.restparam@3.6.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86545 verbose linkBins lodash.restparam@3.6.1
86546 verbose linkMans lodash.restparam@3.6.1
86547 silly build lodash.templatesettings@3.1.1
86548 info linkStuff lodash.templatesettings@3.1.1
86549 silly linkStuff lodash.templatesettings@3.1.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86550 verbose linkBins lodash.templatesettings@3.1.1
86551 verbose linkMans lodash.templatesettings@3.1.1
86552 silly build lodash.template@3.6.2
86553 info linkStuff lodash.template@3.6.2
86554 silly linkStuff lodash.template@3.6.2 has D:\www\nailed_sudio\node_modules as its parent node_modules
86555 verbose linkBins lodash.template@3.6.2
86556 verbose linkMans lodash.template@3.6.2
86557 silly build longest@1.0.1
86558 info linkStuff longest@1.0.1
86559 silly linkStuff longest@1.0.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86560 verbose linkBins longest@1.0.1
86561 verbose linkMans longest@1.0.1
86562 silly build lowercase-keys@1.0.0
86563 info linkStuff lowercase-keys@1.0.0
86564 silly linkStuff lowercase-keys@1.0.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86565 verbose linkBins lowercase-keys@1.0.0
86566 verbose linkMans lowercase-keys@1.0.0
86567 silly build lpad@2.0.1
86568 info linkStuff lpad@2.0.1
86569 silly linkStuff lpad@2.0.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86570 verbose linkBins lpad@2.0.1
86571 verbose linkMans lpad@2.0.1
86572 silly build make-error@1.2.2
86573 info linkStuff make-error@1.2.2
86574 silly linkStuff make-error@1.2.2 has D:\www\nailed_sudio\node_modules as its parent node_modules
86575 verbose linkBins make-error@1.2.2
86576 verbose linkMans make-error@1.2.2
86577 silly build make-error-cause@1.2.2
86578 info linkStuff make-error-cause@1.2.2
86579 silly linkStuff make-error-cause@1.2.2 has D:\www\nailed_sudio\node_modules as its parent node_modules
86580 verbose linkBins make-error-cause@1.2.2
86581 verbose linkMans make-error-cause@1.2.2
86582 silly build map-cache@0.2.2
86583 info linkStuff map-cache@0.2.2
86584 silly linkStuff map-cache@0.2.2 has D:\www\nailed_sudio\node_modules as its parent node_modules
86585 verbose linkBins map-cache@0.2.2
86586 verbose linkMans map-cache@0.2.2
86587 silly build map-obj@1.0.1
86588 info linkStuff map-obj@1.0.1
86589 silly linkStuff map-obj@1.0.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86590 verbose linkBins map-obj@1.0.1
86591 verbose linkMans map-obj@1.0.1
86592 silly build camelcase-keys@2.1.0
86593 info linkStuff camelcase-keys@2.1.0
86594 silly linkStuff camelcase-keys@2.1.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86595 verbose linkBins camelcase-keys@2.1.0
86596 verbose linkMans camelcase-keys@2.1.0
86597 silly build map-stream@0.1.0
86598 info linkStuff map-stream@0.1.0
86599 silly linkStuff map-stream@0.1.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86600 verbose linkBins map-stream@0.1.0
86601 verbose linkMans map-stream@0.1.0
86602 silly build is-extglob@1.0.0
86603 info linkStuff is-extglob@1.0.0
86604 silly linkStuff is-extglob@1.0.0 has D:\www\nailed_sudio\node_modules\micromatch\node_modules as its parent node_modules
86605 verbose linkBins is-extglob@1.0.0
86606 verbose linkMans is-extglob@1.0.0
86607 silly build is-glob@2.0.1
86608 info linkStuff is-glob@2.0.1
86609 silly linkStuff is-glob@2.0.1 has D:\www\nailed_sudio\node_modules\micromatch\node_modules as its parent node_modules
86610 verbose linkBins is-glob@2.0.1
86611 verbose linkMans is-glob@2.0.1
86612 silly build mime@1.2.4
86613 info linkStuff mime@1.2.4
86614 silly linkStuff mime@1.2.4 has D:\www\nailed_sudio\node_modules as its parent node_modules
86615 verbose linkBins mime@1.2.4
86616 verbose linkMans mime@1.2.4
86617 silly build connect@1.9.2
86618 info linkStuff connect@1.9.2
86619 silly linkStuff connect@1.9.2 has D:\www\nailed_sudio\node_modules\express\node_modules as its parent node_modules
86620 verbose linkBins connect@1.9.2
86621 verbose linkMans connect@1.9.2
86622 silly build express@2.5.11
86623 info linkStuff express@2.5.11
86624 silly linkStuff express@2.5.11 has D:\www\nailed_sudio\node_modules as its parent node_modules
86625 verbose linkBins express@2.5.11
86626 verbose linkBins [ { express: './bin/express' },
86626 verbose linkBins   'D:\\www\\nailed_sudio\\node_modules\\.bin',
86626 verbose linkBins   false ]
86627 verbose linkMans express@2.5.11
86628 silly build mime-db@1.26.0
86629 info linkStuff mime-db@1.26.0
86630 silly linkStuff mime-db@1.26.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86631 verbose linkBins mime-db@1.26.0
86632 verbose linkMans mime-db@1.26.0
86633 silly build mime-types@2.1.14
86634 info linkStuff mime-types@2.1.14
86635 silly linkStuff mime-types@2.1.14 has D:\www\nailed_sudio\node_modules as its parent node_modules
86636 verbose linkBins mime-types@2.1.14
86637 verbose linkMans mime-types@2.1.14
86638 silly build form-data@2.1.2
86639 info linkStuff form-data@2.1.2
86640 silly linkStuff form-data@2.1.2 has D:\www\nailed_sudio\node_modules as its parent node_modules
86641 verbose linkBins form-data@2.1.2
86642 verbose linkMans form-data@2.1.2
86643 silly build minimatch@3.0.3
86644 info linkStuff minimatch@3.0.3
86645 silly linkStuff minimatch@3.0.3 has D:\www\nailed_sudio\node_modules as its parent node_modules
86646 verbose linkBins minimatch@3.0.3
86647 verbose linkMans minimatch@3.0.3
86648 silly build minimist@1.2.0
86649 info linkStuff minimist@1.2.0
86650 silly linkStuff minimist@1.2.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86651 verbose linkBins minimist@1.2.0
86652 verbose linkMans minimist@1.2.0
86653 silly build minimist@0.0.8
86654 info linkStuff minimist@0.0.8
86655 silly linkStuff minimist@0.0.8 has D:\www\nailed_sudio\node_modules\mkdirp\node_modules as its parent node_modules
86656 verbose linkBins minimist@0.0.8
86657 verbose linkMans minimist@0.0.8
86658 silly build mkdirp@0.5.1
86659 info linkStuff mkdirp@0.5.1
86660 silly linkStuff mkdirp@0.5.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86661 verbose linkBins mkdirp@0.5.1
86662 verbose linkBins [ { mkdirp: 'bin/cmd.js' },
86662 verbose linkBins   'D:\\www\\nailed_sudio\\node_modules\\.bin',
86662 verbose linkBins   false ]
86663 verbose linkMans mkdirp@0.5.1
86664 silly build ms@0.7.1
86665 info linkStuff ms@0.7.1
86666 silly linkStuff ms@0.7.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86667 verbose linkBins ms@0.7.1
86668 verbose linkMans ms@0.7.1
86669 silly build debug@2.2.0
86670 info linkStuff debug@2.2.0
86671 silly linkStuff debug@2.2.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
86672 verbose linkBins debug@2.2.0
86673 verbose linkMans debug@2.2.0
86674 silly build isarray@0.0.1
86675 info linkStuff isarray@0.0.1
86676 silly linkStuff isarray@0.0.1 has D:\www\nailed_sudio\node_modules\multipipe\node_modules as its parent node_modules
86677 verbose linkBins isarray@0.0.1
86678 verbose linkMans isarray@0.0.1
86679 silly build nan@2.5.1
86680 info linkStuff nan@2.5.1
86681 silly linkStuff nan@2.5.1 has D:\www\nailed_sudio\node_modules as its parent node_modules
86682 verbose linkBins nan@2.5.1
86683 verbose linkMans nan@2.5.1
86684 silly build natives@1.1.0
86685 info linkStuff natives@1.1.0
86686 silly linkStuff natives@1.1.0 has D:\www\nailed_sudio\node_modules as its parent node_modules
